variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,20, 1.11e-16, 5.55e-18, 1.09e-17, 0.292 +  0 t, 1
OCNFRAC,fraction,0.663,20, 0.000625, 3.13e-05, 6.13e-05, 0.664 + -6.08e-05 t, 0.0101
SST,K,291.936,20, 0.098, 0.005, 0.010, 292.040 + -0.009 t, 0.015
TS,K,286.973,20, 0.124, 0.006, 0.012, 287.152 + -0.016 t, 0.000
SWCF,W/m2,-47.381,20, 0.381, 0.019, 0.037,-47.188 + -0.017 t, 0.282
LWCF,W/m2,23.288,20, 0.098, 0.005, 0.010, 23.253 +  0.003 t, 0.444
PRECT,m/s,3.5e-08,20, 1.17e-10, 5.85e-12, 1.15e-11, 3.51e-08 + -5.92e-12 t, 0.212
TAUX,N/m2,-0.00659,20, 0.000782, 3.91e-05, 7.67e-05,-0.00687 +  2.49e-05 t, 0.438
TAUY,N/m2,-0.00204,20, 0.000602, 3.01e-05, 5.9e-05,-0.00221 +  1.41e-05 t, 0.569
TGCLDLWP,kg/m2,0.0548,20, 0.000652, 3.26e-05, 6.39e-05, 0.0548 +  2.54e-06 t, 0.925
PSL,Pa,101095.738,20, 1.854, 0.093, 0.182, 101095.517 +  0.019 t, 0.802
TREFHT,K,286.144,20, 0.124, 0.006, 0.012, 286.323 + -0.016 t, 0.000
