variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.663,0.665,-0.002
SST,K,291.936,292.192,-0.256
TS,K,286.973,287.38,-0.407
SWCF,W/m2,-47.381,-46.178,-1.203
LWCF,W/m2,23.288,22.967,0.321
PRECT,m/s,3.5e-08,3.54e-08,-4e-10
TAUX,N/m2,-0.00659,-0.00562,-0.00097
TAUY,N/m2,-0.00204,-0.00171,-0.00033
TGCLDLWP,kg/m2,0.0548,0.0539,0.0009
PSL,Pa,101095.738,101100.05,-4.312
TREFHT,K,286.144,286.557,-0.413
