variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,20, 1.11e-16, 5.55e-18, 1.09e-17, 0.292 +  0 t, 1
OCNFRAC,fraction,0.665,20, 0.000816, 4.08e-05, 8e-05, 0.666 + -5.88e-05 t, 0.0685
SST,K,292.192,20, 0.104, 0.005, 0.010, 292.273 + -0.007 t, 0.087
TS,K,287.380,20, 0.140, 0.007, 0.014, 287.502 + -0.011 t, 0.053
SWCF,W/m2,-46.178,20, 0.368, 0.018, 0.036,-46.016 + -0.014 t, 0.350
LWCF,W/m2,22.967,20, 0.086, 0.004, 0.008, 23.047 + -0.007 t, 0.038
PRECT,m/s,3.54e-08,20, 1.51e-10, 7.53e-12, 1.48e-11, 3.54e-08 + -4.81e-13 t, 0.939
TAUX,N/m2,-0.00562,20, 0.000691, 3.46e-05, 6.77e-05,-0.00604 +  3.64e-05 t, 0.193
TAUY,N/m2,-0.00171,20, 0.000442, 2.21e-05, 4.33e-05,-0.00163 + -7.59e-06 t, 0.678
TGCLDLWP,kg/m2,0.0539,20, 0.000616, 3.08e-05, 6.04e-05, 0.0532 +  6.52e-05 t, 0.00425
PSL,Pa,101100.050,20, 2.208, 0.110, 0.216, 101101.453 + -0.122 t, 0.171
TREFHT,K,286.557,20, 0.140, 0.007, 0.014, 286.680 + -0.011 t, 0.053
