variable,unit,test,control,diff
TSA,K,279.988,280.408,-0.42
TV,K,280.593,281.015,-0.422
PREC,mm d$^{-1}$,2.281,2.262,0.019
ELAI,m${-2}$ m${-2}$,1.259,1.242,0.017
FSDS,W m$^{-2}$,196.282,196.324,-0.042
FLDS,W m$^{-2}$,292.787,294.94,-2.153
QBOT,kg/kg,0.00631,0.00643,-0.00012
ASA,% reflected,29.24,29.129,0.111
RNET,W m$^{-2}$,70.049,70.237,-0.188
FSH,W m$^{-2}$,32.001,32.273,-0.272
ET,W m$^{-2}$,37.229,37.169,0.06
FCTR,W m$^{-2}$,17.751,17.729,0.022
FGEV,W m$^{-2}$,10.885,10.838,0.047
FCEV,W m$^{-2}$,8.593,8.602,-0.009
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.944,0.918,0.026
SNOWDP,m,2.246,2.25,-0.004
GPP,PgC y$^{-1}$,98.605,97.381,1.224
NPP,PgC y$^{-1}$,39.659,39.239,0.42
NEE,PgC y$^{-1}$,-0.0806,1.745,-1.826
NBP,PgC y$^{-1}$,-0.521,-2.357,1.836
NPP_NUPTAKE,gC/m^2/s,2.96e-06,2.84e-06,1.2e-07
BTRANMN,unitless,0.579,0.578,0.001
TOTECOSYSC,gC/m^2,20245.295,20735.684,-490.389
TOTSOMC_1m,PgC,1547.46,1569.609,-22.149
ALTMAX,m,31.956,31.738,0.218
TWS,mm,7575.281,7528.815,46.466
SOILWATER_10CM,kg/m2,28.049,27.776,0.273
GRAINC_TO_FOOD,PgC y$^{-1}$,0.427,0.436,-0.009
FAREA_BURNED,s-1,1.74e-09,1.74e-09,0
