variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.664,0.663,0.001
SST,K,291.831,291.821,0.01
TS,K,286.841,286.746,0.095
SWCF,W/m2,-47.745,-47.705,-0.04
LWCF,W/m2,23.708,23.729,-0.021
PRECT,m/s,3.47e-08,3.46e-08,1e-10
TAUX,N/m2,-0.00604,-0.00571,-0.00033
TAUY,N/m2,-0.00192,-0.00184,-8e-05
TGCLDLWP,kg/m2,0.0526,0.0524,0.0002
PSL,Pa,101095.138,101095.301,-0.163
TREFHT,K,286.005,285.914,0.091
