variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,40, 2.78e-16, 6.94e-18, 1.36e-17, 0.292 +  0 t, nan
OCNFRAC,fraction,0.664,40, 0.000911, 2.28e-05, 4.46e-05, 0.664 + -8.74e-06 t, 0.496
SST,K,291.831,40, 0.072, 0.002, 0.004, 291.861 + -0.001 t, 0.158
TS,K,286.841,40, 0.101, 0.003, 0.005, 286.874 + -0.002 t, 0.279
SWCF,W/m2,-47.745,40, 0.338, 0.008, 0.017,-47.620 + -0.006 t, 0.221
LWCF,W/m2,23.708,40, 0.100, 0.002, 0.005, 23.694 +  0.001 t, 0.655
PRECT,m/s,3.47e-08,40, 1.21e-10, 3.01e-12, 5.9e-12, 3.47e-08 + -1.3e-12 t, 0.443
TAUX,N/m2,-0.00604,40, 0.000733, 1.83e-05, 3.59e-05,-0.00601 + -1.64e-06 t, 0.875
TAUY,N/m2,-0.00192,40, 0.000501, 1.25e-05, 2.46e-05,-0.00192 + -2.92e-07 t, 0.967
TGCLDLWP,kg/m2,0.0526,40, 0.000562, 1.4e-05, 2.75e-05, 0.0525 +  7.99e-06 t, 0.312
PSL,Pa,101095.138,40, 1.667, 0.042, 0.082, 101095.528 + -0.018 t, 0.439
TREFHT,K,286.005,40, 0.101, 0.003, 0.005, 286.040 + -0.002 t, 0.252
