variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,35, 1.67e-16, 4.76e-18, 9.33e-18, 0.292 +  0 t, 1
OCNFRAC,fraction,0.663,35, 0.00115, 3.28e-05, 6.44e-05, 0.662 +  5.15e-05 t, 0.00633
SST,K,291.821,35, 0.063, 0.002, 0.004, 291.853 + -0.002 t, 0.114
TS,K,286.746,35, 0.089, 0.003, 0.005, 286.720 +  0.001 t, 0.370
SWCF,W/m2,-47.705,35, 0.216, 0.006, 0.012,-47.669 + -0.002 t, 0.616
LWCF,W/m2,23.729,35, 0.106, 0.003, 0.006, 23.689 +  0.002 t, 0.241
PRECT,m/s,3.46e-08,35, 1.28e-10, 3.65e-12, 7.16e-12, 3.46e-08 + -7.85e-13 t, 0.724
TAUX,N/m2,-0.00571,35, 0.000755, 2.16e-05, 4.23e-05,-0.00528 + -2.26e-05 t, 0.0778
TAUY,N/m2,-0.00184,35, 0.000499, 1.43e-05, 2.79e-05,-0.00158 + -1.36e-05 t, 0.109
TGCLDLWP,kg/m2,0.0524,35, 0.000399, 1.14e-05, 2.23e-05, 0.0524 + -2.52e-07 t, 0.971
PSL,Pa,101095.301,35, 1.555, 0.044, 0.087, 101096.006 + -0.037 t, 0.164
TREFHT,K,285.914,35, 0.089, 0.003, 0.005, 285.890 +  0.001 t, 0.426
