variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.664,0.666,-0.002
SST,K,291.824,292.057,-0.233
TS,K,286.815,287.179,-0.364
SWCF,W/m2,-47.873,-47.792,-0.081
LWCF,W/m2,23.849,23.808,0.041
PRECT,m/s,3.47e-08,3.5e-08,-3e-10
TAUX,N/m2,-0.00574,-0.00577,3e-05
TAUY,N/m2,-0.0019,-0.00148,-0.00042
TGCLDLWP,kg/m2,0.0525,0.0528,-0.0003
PSL,Pa,101095.085,101098.867,-3.782
TREFHT,K,285.978,286.343,-0.365
