variable,unit,test,control,diff
TSA,K,280.019,279.918,0.101
TV,K,280.629,280.524,0.105
PREC,mm d$^{-1}$,2.28,2.26,0.02
ELAI,m${-2}$ m${-2}$,1.251,1.24,0.011
FSDS,W m$^{-2}$,196.333,196.553,-0.22
FLDS,W m$^{-2}$,292.917,292.393,0.524
QBOT,kg/kg,0.00632,0.00628,4e-05
ASA,% reflected,29.308,29.387,-0.079
RNET,W m$^{-2}$,70.002,69.972,0.03
FSH,W m$^{-2}$,31.949,32.103,-0.154
ET,W m$^{-2}$,37.231,37.044,0.187
FCTR,W m$^{-2}$,17.748,17.66,0.088
FGEV,W m$^{-2}$,10.933,10.886,0.047
FCEV,W m$^{-2}$,8.549,8.498,0.051
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.942,0.929,0.013
SNOWDP,m,2.255,2.255,0
GPP,PgC y$^{-1}$,98.404,97.604,0.8
NPP,PgC y$^{-1}$,39.475,39.131,0.344
NEE,PgC y$^{-1}$,-0.462,-0.259,-0.203
NBP,PgC y$^{-1}$,-0.135,-0.343,0.208
NPP_NUPTAKE,gC/m^2/s,2.99e-06,2.97e-06,2e-08
BTRANMN,unitless,0.58,0.579,0.001
TOTECOSYSC,gC/m^2,19937.276,19983.41,-46.134
TOTSOMC_1m,PgC,1523.405,1528.212,-4.807
ALTMAX,m,31.98,31.94,0.04
TWS,mm,7588.69,7585.423,3.267
SOILWATER_10CM,kg/m2,28.002,28.016,-0.014
GRAINC_TO_FOOD,PgC y$^{-1}$,0.425,0.427,-0.002
FAREA_BURNED,s-1,1.73e-09,1.76e-09,-3e-11
